area_code,area_name,name,operator,type,turbines,capacity,address,county,lon,lat
S12000006,Dumfries and Galloway,Ewe Hill,Scottish Power Renewables,Wind Onshore,6,2.30,"Near Langham and Lockerbie
Dumfries",Dumfries and Galloway,-3.33386897962341,55.107092223388904
E06000057,Northumberland,Middlemoor,Npower Renewables,Wind Onshore,18,3.00,"North Charlton
Alnwick
Northumberland",Northumberland,-1.7678381454381273,55.49863913713922
S12000017,Highland,Baillie Wind Farm,Baillie Windfarm Ltd,Wind Onshore,21,2.50,"Bardnaheigh, Westfield, Thurso",Highland,-3.6770209865704824,58.56792109323674
W06000002,Gwynedd,Braich Ddu,REG Windpower (previously Cornwall Light and Power),Wind Onshore,3,1.30,"Braich Ddu, Glanrafon Y Bala, Gwynedd",Gwynedd,-3.957583837611038,52.595094162591806
S12000026,Scottish Borders,Drone Hill,Greencoat UK Wind,Wind Onshore,22,1.30,"Coldingham
East Berwickshire",Borders,-2.2619287289184835,55.89788732474436
S12000035,Argyll and Bute,Tangy Wind Farm Extension/Tangy 2,Scottish and Southern Energy (SSE),Wind Onshore,7,0.85,"Kilkenzie, Campbelltown",Strathclyde,-5.530459773404622,55.47861520446696
E06000057,Northumberland,Ray Wind Farm,Vattenfall,Wind Onshore,16,3.50,"Kirkwhelpington, Newcastle-upon-Tyne, Tyne and Wear",Northumberland,-2.0714215103908393,55.18221928462521
S12000048,Perth and Kinross,Calliachar,Scottish and Southern Energy (SSE),Wind Onshore,14,2.30,"Nr Aberfeldy, Amulree",Tayside,-3.876077856949308,56.62767899222042
S12000048,Perth and Kinross,Griffin Wind farm,Greenpower (Griffin) Ltd,Wind Onshore,52,3.00,Griffin Forest,Tayside,-3.733752370312209,56.58122252862958
E07000026,Allerdale,High Pow Farm (Resubmission),REG Windpower (previously Cornwall Light and Power),Wind Onshore,3,1.30,"High Pow Farm
Boltons Low Houses
Nr. Wigton
Cumbria",Cumbria,-3.1911983335572724,54.7895364866888
S12000034,Aberdeenshire,St. Johns Hill,K E Projects AF,Wind Onshore,9,2.80,"Chapel of Barras
nr Kinneff, 
South of Stonehaven",Grampian,-2.2724202966905636,56.88857286807997
S12000006,Dumfries and Galloway,Blackcraig,Blue Energy,Wind Onshore,23,3.00,"Blackcraig Hill, 6km NE of Balmaclellan",Dumfries and Galloway,-4.032118080857861,55.11991240431174
E07000043,North Devon,Fullabrook Down Wind Farm,Devon Wind Power Ltd,Wind Onshore,22,3.00,"Fullabrook Down, Crackaway, Barton",Devon,-4.102655774664395,51.15694597218187
S12000047,Fife,Little Raith Farm,Kennedy Power Ltd,Wind Onshore,9,2.80,"South of A92
Nr Loch Gelly",Fife,-3.252158728926261,56.119354438897126
W06000013,Bridgend,Pant y wal,Pennant Wind Energy Ventures (PWEV),Wind Onshore,10,2.50,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,-3.505034560867736,51.61285887508952
N09000005,Derry City and Strabane,Crighshane,Greencoat (formerly Energia Renewables),Wind Onshore,14,2.00,"Crighshane, South of Ballymongan Road, Killeter, Castlederg",Co. Tyrone,-7.752574709845027,54.639866542630806
N09000005,Derry City and Strabane,Townlands of Carrickatane,Northern Wind Power,Wind Onshore,9,2.30,"Townlands of Carrickatane, Castlemellan, Cullion, Gortmellan & Taboe Glebe (Co. Tyrone) and Tirkeeveny & Killymallaght (Co. Derry), accessing onto Gortmellon Road, Cullion, BT47 3TA",Co. Derry / Londonderry,-7.199703965185784,54.89489476034686
E06000057,Northumberland,Green Rigg,EDF/China General Nuclear Power Corporation,Wind Onshore,18,2.00,Near the A68 and Sweethope Lough,Northumberland,-2.1270098223534726,55.132302042721186
N09000005,Derry City and Strabane,Church Hill,Greencoat (formerly Energia Renewables),Wind Onshore,8,2.00,"Church Hill, Meenamullan Road, Killeter, Castlederg, and Magherakeel, Killeter, Castlederg, Co Tyrone.",Co. Tyrone,-7.712814976280258,54.65399677585015
N09000006,Fermanagh and Omagh,Crockagarran,ESB,Wind Onshore,6,2.50,"Lands to the East of Whitebridge Road and South of Gleneeny Road, on lands at Crockagarron in the Townland of Gleneeny, Co Tyrone.",Co. Tyrone,-7.016810798539716,54.550193656038225
S12000017,Highland,Rosehall Hill Forest Windfarm,E.On,Wind Onshore,19,1.30,"Lairg, Highlands. IV27 4EU",Highland,-4.5469502439394,57.99562478248597
N09000006,Fermanagh and Omagh,Thornog Windfarm,Energia Renewables,Wind Onshore,4,2.30,"Thornog, 
Meenadoan townland, 
Drumquin. 
Co Tyrone",Co. Tyrone,-7.559610886301809,54.60639593817442
N09000006,Fermanagh and Omagh,Slieve Divena Phase 2 Wind Farm,Scottish and Southern Energy (SSE),Wind Onshore,8,2.50,"Slieve Divena Wind Farm Phase II in the townlands of Altcloghfin, Altamuskin and Shantavny Irish, Co Tyrone",Co. Tyrone,-7.106399976019913,54.50859673999928
S12000029,South Lanarkshire,Bankend Rig,I & H Brown Ltd,Wind Onshore,11,1.30,Near Dungavel Reservoir,Strathclyde,-4.134221209823609,55.5782715156803
S12000034,Aberdeenshire,Hill of Easterton Extension,Mackies,Wind Onshore,2,1.00,"Hill of Easterton, 1km North Of Mackies Ice Cream Dairy, Westertown, Rothienorman, Inverurie, AB51 8US",Grampian,-2.3932806182207633,57.37610586110237
E07000043,North Devon,Batsworthy Cross,Blackrock Real Assets,Wind Onshore,9,2.00,"Batsworthy Cross, Creacombe, North Devon",Devon,-3.6891128128239803,50.971687905300314
N09000005,Derry City and Strabane,Slieve Kirk,Airtricity,Wind Onshore,12,2.30,"Lands bounded by Bigwood Road, Kildoag Road & Castlewarren Road, within the townlands of Lisdillon, Kildoag in Co Derry, Knockbrack, Gosheden, Lackagh, Ardground, Legagh in Co Tyrone",Co. Tyrone,-7.2889026597544175,54.92029986644087
S12000026,Scottish Borders,Fallago Rig,EDF Energy Renewables,Wind Onshore,48,3.00,Lammermuir Hills,Borders,-2.6880276876420575,55.831307537700226
S12000049,Glasgow City,Cathkin Braes Wind Farm (Castlemilk),Scottish and Southern Energy (SSE),Wind Onshore,1,3.00,Site At Cathkin Braes/ Cathkin Road Carmunnock Glasgow,Strathclyde,-4.2153109665823205,55.79712699594974
W06000012,Neath Port Talbot,Mynydd y Betws,ESB (Cambrian Renewable Energy Ltd / Betws Common Holdings Ltd),Wind Onshore,15,2.30,"Mynydd y Betws, Betws, Ammanford",Dyfed,-3.9290363115653806,51.772824708965764
S12000041,Angus,Ark Hill,Green Cat Renewables,Wind Onshore,8,0.80,"Chamberwells, Glamis, Tayside",Tayside,-3.048057992068973,56.570923958569054
S12000013,Na h-Eileanan Siar,Pentland Road Wind Farm,Arnish Electric Ltd / Farm Energy Ltd,Wind Onshore,6,2.30,"Pentland Road, Isle of Lewis",Western Isles,-6.510773625182931,58.25719649702742
N09000006,Fermanagh and Omagh,Slieveglass,Slieveglass wind farm (Energia),Wind Onshore,3,2.30,"Bullock Park, Drumquin, Co. Tyrone",Co. Tyrone,-7.569239947513348,54.635492616632945
N09000006,Fermanagh and Omagh,Molly Mountain,Erne Concrete Pumping,Wind Onshore,5,3.00,Land at Molly Mountain near Derrylin,Co. Fermanagh,-7.636503297659114,54.197920990409735
